,title
13,"11. Сразу нашей себе нашивки сержанта. Дело в том, что это как староста в классе - кто первый сориентировался - тот и сержант. Когда все увижят, что нашивки у тебя уже есть - скорее всего никто не будет возражать, что бы ты им оставался. В будущем это даст тебе много мелких преимуществ."
14,"12. Не обязательно всегда подчиняться приказам вышестоящих военнослужащих. Дело в том, что, что бы привлечь тебя к ответственности, нужен письменный приказ. Если не хочется, к примеру, идти в наряд - можно сразу сказать, что не будешь этого делать без письменного приказа. Обычно никто его составлять не хочет, и на это быстро забъют. А тебя зауважают за активность и знание своих прав."
15,"13. Вообще - как заходишь в казарму - делай все с юмором, там это любят. Например громко крикни - ""кто здесь главный?"", и, когда к тебе выйдет старослужащий, проверни с ним старую шутку - потянись, что бы поздороваться, а потом резко убери руку, как будто хотел почесать затылок. Хохоту будет. Сразу растопишь лед недопонимания."
16,"14. В армии всегда нужно уважать начальство, особенно офицера-замполита. Если он у тебя спрашивает - не нарушал ли кто нибудь дисциплину - это значит, что он уже знает обо всем, и просто проверят, скажешь ли ты ему все, или будешь отпираться. Поэтому лучше рассказать все и сразу. И вообще - офицер-замполит обычно свой дядька - можешь заходить к нему почаще и рассказывать о проблемах - он всегда поможет тебе и твоим товарищам."
17,15. С офицерами здоровайся за руку. Если офицер седой - то лучше даже похлопать по плечу.
18,"16. Когда уже немного отслужишь и зарекомендуешь себя с лучшей стороны, то при команде - ""рота, подъем!"" - можешь поваляться еще минут 10-15."
19,"17. В армии не принято делится ни с кем. Это негласное правило, так как еды обычно не хватает. Поэтому можешь смело есть свои запасы. Лучшее время для этого - сразу после отбоя."
20,"18. Дед в армии - это это не только тот кто отслужил больше полу года, но и тот, кого больше всего уважают офицеры. А уважать - значит бояться. Когда офицер сделает тебе замечание - прилюдно замахнись на него, что бы он дернулся, а потом засмейся."
21,"19. Еду носи в карманах, да и сами руки тоже держи в карманах. Чтобы понял, что ты не хуй какой-то, а нормальный тип. Когда с тобой разговаривает старший по званию, то не держи руки по швам как истукан, а скрести на груди или за спиной."
22,"20. Выпивать в армии - нормальное дело. Ты же в России. Конечно, так просто тебе не дадут пронести спиртное в часть - но это формальность, на всякий случай - вдруг дежурного проверят. Так что придумай способ пронести бутылку в часть, а потом смело храни её под подушкой, и выпивай по 50 грамм после отбоя."
23,"21. Сразу после заселения в казарму спроси - где здесь тряпка для мытья пола. Это тебе пригодится, так как пол возле кровати нужно всегда держать в полнейшей чистоте. Сразу, как узнаешь где тряпка и прочие принадлежности - бери их, и мой возле кровати. Обычно дембеля оставляют за собой полнейший срач, и тебе может сильно влететь, если это заметят."
24,22. Многие офицеры в армии - 80ых годов рождения. Гр.Об - музыка их молодости. Выучи пару песен и порадуй руководство.
25,"23. Чтобы избежать мозолей и прочих бед связанных с ногами лучше всего подойдет второй комплект носков и, внезапно, презервативы. Надеваете первые носки, сверху натягиваете презерватив и сверху будет ещё один носок."
26,"Я могу опустить тебя при твоей же девушке. А что ты мне сделаешь, дрищ? Ты опустишь свои заплаканые глазки в пол и будешь молчать и смотреть как я лапаю твою тян. А она и не против. Потому что я здоровый качек, альфач и доминант. Я буду шлепать тебя ладошкой по лицу,а девушке твоей говорить, что ты педик и чмошник, который её не защитит."
27,Ты знаешь сколько у меня жим? Я просто толкну твоё детское тельце и ты впечатаешься в стену и потеряешь сознание. Ты знаешь что у меня становая 250? Знаешь какой у меня хват? Я просто сожму твою маленькую черепушку и она лопнет как орех.
28,"Знай чмо, если ты дрищ и одет как пидор идёшь с тян, я до тебя доберусь. Потому что такой биомусор не имеет права иметь тян и ходить по улицам. Я всегда буду унижать тебя. Я харкну тебе в лицо и ты мне ничегоне сделаешь. Я отберу у тебя все, мразь."
29,"Главное помни, дрищенка, твой травмат, нож, перец окажется в твоём точке ещё до того как ты своей омежьей худенькой рученкой за ним потянешься."
30,"Блядь, Двач, послушай ка мою историю и дай оценку моим действиям пожалуйста."
31,"Мне 18 лет, выбрит, но волосат и челкарь, девственник, 1й курс универа, 178 рост, 76 кг, занимаюсь любительским плаванием(ни куда то есть не хожу, но плаваю охуенно). Многолетний опыт задротства, двача и инернетов."
32,"Еду сегодня в маршрутке, стоя, вся маршрутка забита до отказа. Рядом стоит тян, рыжеволосая, с веснушками, лицо 1в1 с пикрилейтед, только волосы рыжие. Ну в общем не привлекательная для большинства ""нормальных"" людей. Тян лет 16-17, хуй разберешь. Рядом, как я понял, едут её одноклассники, три куна тоже лет 16-17, простые такие куны, ничем не выделяющиеся. Едум в таком порядке: они стоят ближе к концу маршрутки, потом эта тян, потом я. Мп3шник, как назло завис, как только я залез в маршрутку, а что-бы его перезагрузить, нужно ткнуть например пером ручки в дырочку сзади(кто сталкивался, тот поймет), а в такой давке хуй я ручку достану. Снял я свои наушники значит(Acme Pro, пиздатые) и стою себе и тихонько ненавижу весь этот сраный мир вокруг меня. До меня долетает разговор кунов. Разговор заключается в не сильно пристойных шутках над рыжей тян, её веснушками и непривлекательной внешностью. Еще, периодически, на поворотах они её толкают, что-бы она налетала на пассажиров, то есть на меня. Уже в этот момент меня это взбесило, сразу вспомнились мои школьные годы. После каждого толчка и еще одного касания по моим охуенным ботинкам тян смотрит на меня своими огромными глазами и, краснея, извиняется. Так же после каждой более-менее удачной шутки со стороны этих кретинов она мельком смотрит на мою реакцию. Проезжаю свою остановку, еду дальше. Смотрю - тян пытается выйти, пропускаю, выходят так же эти три еблана. Выхожу между ними и тян. Тян торопливо пытается уйти(хуесосы уже настроили планов, как они вываляют ""рыжую вонючую ведьму"" в снегу, как только приедем). Расплачиваюсь, не забирая сдачи, торопливо выхожу и на улице ложу руку тян на плечо, говорю, мол подожди, она удивленно на меня смотрит. Выбегают эти трое, первый моментом получает от меня удар в ебало, жаль я еще не додумался снять перчатку. Второй видя такой поворот дел пытается затормозить на ступеньках маршрутки, но я стаскиваю его за куртку вниз и тоже бью раза три, правда он пидар прикрывается руками. Третий выходит и начинает убегать, отбежав подальше стоит смотрит. Первый со вторым лежат в грязи и снегу рядом с маршруткой и плачут ""дядечка не надо"", лол. Дядечка, хех. Молча поворачиваюсь к тян, говорю дай свой телефон. Она, ЛОЛ!, дает мне свой мобильник( в смысле сам телефон, аппарат). Набираю там свой номер, делаю вызов к себе, записываю себя как ""Вова маршрутка"", говорю, что если эти ебланы будут еще что-то подобное творить, то пусть пожалуйста позвонит. Жаль я прослоуплчил и не спросил имени, ну да похуй. Она молча берет свой мобильник, говорит тихо ""Спасибо тебе большое"" и уходит. Перезаряжаю мп3шник, перехожу улицу, стою жду обратную маршрутку. Хуесосы втроем поспешно собирают свои сраные манатки и отправляются в неизвестном направлении. Алсо, если кому интересно, город - Одесса."
33,Пока писал пришла смска:
34,"""Спасибо тебе еще раз, не надо было."""
35,...
36,"И так, проснулся я, от неё один пропущенный. Перезвонил, оказывается звонила просто поговорить. Честно говоря я не совсем умею то с людьми общаться ирл, в сети с этим полегче. Ну думаю, анон, ты меня понимаешь. Спросил есть ли у неё контактик или аська. Компьютера у неё нет, доступа к инернетам - тоже. Зря вы там деанонили её, нет её вконтактике. Да и меня в принципе тоже - вконтакте имею акк, естественно фейковый, для видео, музыки или набегов. Не более. Травить меня - пустое дело, сам студент, мама, бабушка, отец умерли, друзей нету, одногруппникам на меня глубоко похуй."
37,"Алсо, завтра с ней увижусь, договорились. Сама причем предложила, вот так вот. Сейчас сижу, двач вслух читаю, ибо от редкого использования речи язык на некоторых словах заплетается. Куда поведу - не знаю. Завтра отпишусь, пока можете давать советы и спрашивать вопросы. Вроде всё."
38,...
39,"Суп, Двач. Извини, что так долго не выходил на связь. Были проблемы с интернетом. Вот вам мой последний отчет. Вдруг кому-то еще интересно."
40,"Я тот кун, который маршруточный гладиатор Вова, лол."
41,"Так-с, обо всём по порядку. На выходных гуляли вместе. Была у меня дома, ей очень нравятся кошки, но у матери аллергия, была безумно рада поиграть с моим котом. Показал ей ПеКа и интернеты. Пристыдила меня немного, лол. Как же я, имея такой доступ к любой информации сижу и играю в ""глупые игры"". Много лазила в интернете, накачала музыки, лазила по Википедии ну и т.д. Двач ей не показывал. Её не ебал, в пердачелло - тоже."
42,"Был у них дома, мать - милфа, как милфа - ничего особенного. Отец - ёбанный гитлер вперемешку со сталиным, блядь. ""Боль и унижение"" в сапогах. Пронзительный взгляд, ему 45, выглядит на 35, ариец во всей красе. Ненависть ко всему живому. Постоянные вопросы. Я и так себя хуево чувствую, когда с людьми общаюсь, а тут этот адовый пиздец. Руки трясутся, когда с ним разговариваю, честное слово, Двач. Так, я отвлёкся."
43,"В общем, много гуляли вместе, много о ней узнал. Призналась мне в любви :3, я тоже, хотя на тот момент не был уверен, сейчас уверен."
44,"Сегодня ровно шесть лет, как погиб, не погибнув до конца, мой друг Саша Ковалёв."
45,"Те, кто расслышал, осекаются на полуслове. Я толкаю локтём в спину Рината, трущего о чём-то с Конём, и кореш испуганно поворачивается."
46,Я глазами показываю ему в сторону учительского стола.
47,"Пластиглаз встаёт и смотрит на нас обоими глазами. Блин, носил хотя бы очки дымчатые, что ли…"
48,"- Саша мечтал стать музыкантом. В Афганистане он успел написать несколько песен. Их и сейчас поют там. Их слушают на кассетах и здесь, те, кто вернулся живым…"
49,"- Э, заткнулись там!.. – шипит вдруг Бравер на склонившуюся к уху Груздевой Подобедову. – Сисек много, ума мало, – уже совсем тихо добавляет Димон, но все слышат. Некоторые ржут, но тут же осекаются."
50,Подобедова окидывает Димона презрительным взглядом и отворачивается к окну.
51,"Пластиглаз, не обращая внимания, продолжает:"
52,"- Трудно за то короткое время, что осталось у нас до звонка, рассказать о том, что за человек был Саша Ковалёв. Как мы подружились с ним в учебке и как попали в одну роту в Кундузе. Или какие замечательные у него папа и мама. Я не буду рассказывать вам, как Саша попал в плен. Я вообще не знаю, имею ли я право рассказывать вам про него..."
53,"Голос Пластиглаза, потерявший свою обычную бесцветность, дрожит."
54,"- Его подбросили через несколько дней после взятия в плен. Ночью. Скинули метрах в двухстах от наших палаток. Часовые заметили движение, открыли огонь. «Духи», так в Афганистане называют душманов, ушли. «Душман», кстати, в переводе означает «враг». Они нас называют «шурави», то есть – «советский». Вот так вот – мы их «врагами», а они нас «советскими». Мы для них хуже врагов. Мы для них вообще не люди."
55,"«Хорошо, - думаю я, - историчка не слышит… Член, бля, партии, со стажем…»"
56,"- «Духи» ушли, а Сашка остался на камнях. Я долго думал… Наверное, было бы лучше, если б часовые тогда попали… Хотя бы в Сашку…"
57,"Пластиглаз говорит тихо, но мы слышим каждое слово."
58,"- Они отрезали ему всё, что можно отрезать у человека. Язык, нос... Прокололи барабанные перепонки и отрезали уши. Выкололи глаза. Отрезали половые органы… Они четвертовали его – оставили от рук и ног короткие обрубки. Совсем короткие… Среди них был хороший медик – перетянул, где надо, жгутами, где надо, прижёг… Остановил кровь… Обколол морфием даже. Очень хотелось им, чтобы Сашка не умер…"
59,Пластиглаз замолкает.
60,Никто из нас не шевелится.
61,Пластиглаз подходит к окну и долго – кажется нам – смотрит на улицу.
62,"- Сашка выжил. Его отправили в Ташкент. Таких ребят, без рук и ног, у нас называют «самоварами». У которых из всего, что было, один крантик и остался… У Сашки не осталось ничего."
63,"Сейчас он у родителей, под Калугой. Я ездил к ним на выходные. Думаю, вы можете представить себе, к а к а я жизнь у человека без всего. Сашке недавно исполнилось двадцать пять. Это совсем немного. Чуть больше, чем вам сейчас."
64,"Пластиглаз дёргает верхний и нижний шпингалеты, рывком – слышен треск бумаги – открывает одну раму, за ней – другую."
65,В класс врывается шум улицы. Серый тюль занавесок выгибается парусом.
66,"- Зачем я это вам рассказал?.. – пожимает плечами Пластиглаз и достаёт из кармана пиджака пачку «Родопи». Чиркает спичкой и закуривает прямо в классе, выпуская дым в окно. Весенний ветерок заносит дым обратно."
67,"Пластиглаз разгоняет его рукой, тушит сигарету о подоконник и выбрасывает в окно."
68,"- Наверное, чтобы вы ценили то, что у вас есть. «Капитанская дочка» очень нравилась Сашке. Он учился в педагогическом. Любил рассказывать о Пугачёве."
69,"Пластиглаз стоит у окна и мы вдруг понимаем, что он плачет. Своим единственным глазом."
70,"- Урок окончен. Домашнего задания нет, - привычным бесцветным голосом говорит Пластиглаз. – Можете идти."
71,"Если говорить честно и прямо, Россия - ужасная, чудовищная, уродливая страна. Страна, вся история которой была кровавым кошмаром, а единственный эпизод этой истории, который объединяет нацию - война, на которой в котлах и бессмысленных мясорубках во славу ебанутого сапожника погибло четверть сотни миллионов человек. Народ этой страны глуп, ограничен, тщеславен и завистлив. Во всём мире русские являются одним из худших меньшинств: злобных, наглых, подлых. В России никогда не было времени счастья, порядка, процветания. Вся история этого рака человеческой расы - хроника массового насилия, совершавшегося порочной и самовлюблённой властью. Люди здесь - плебеи. Скот. Рабы. Тупые и злобные твари, которые считают, что кругом враги и предатели, и только порочная власть России - преграда на пути ещё большего зла. Плебеи робщут, но сосут медвепутину. Плебеев можно гнобить, калечить, пытать, насиловать, плеебев сбивают заи и расстреливают евсюки, плебеи сами друг другу отрывают конечности, и при этом счастливы той клоаке, в которой барахтаются. Россия и русские - это полнейшее, совершенное, абсолютное дерьмо, гной и мразь. Эта страна должна быть уничтожена, сожжена, растоптана, захоронена, как радиоактивные отходы. Чтобы ни одна мразь не могла вспомнить проклятое слово ""Россия""."
72,"Вот тебе блеать настоящая история настоящего меня о том как надо восставать из пепла, после того, как тебя бросит тян."
73,Граммарнаци идут в горящую машину вместе с медведями.
74,А дело было так.
75,"В прошлом году в первых числах декабря я пришел с армейки. И естественно, начал искать себе тян ибо всю сознательную жизнь был девственнотой-задротом. В ебучем тентактике наткнулся на одну. Познакомились. Оказалось живет не далеко, учимся в одном уни, вся такая интересная, не ТП, с фигурой все норм и т.д. Короче, Богиня. Огада."
76,"Влюбился как полный пиздец. Через 2 недели признался дрожащим голосом, что люблю ее, еще через месяц лишился девственности. Все было заебись. Даже еще лучше чем заебись. (эт я так думал, на самом деле превратился в тряпку, подкаблучника и пиздолиза). Я даже с ней был согласен на свадьбу, которую мы хотели сыграть в 2012 году(лол). Прошло 5 месяцев. Наступило лето. Она съебла на практику на неделю."
77,"Возвращается, я к ней на всех парах, естесственно. А тут хуяк, замечаю, что что-то с ней не так. Какое-то ебучее настроение. И нихуя не понял сначала. Потом, поебав мне мозг она выкинула финт, суть которого в следующем: ""ты очень хороший, но я устала от таких отношений, давай больше не будем как парень с девушкой, а наши отношения будут ""полегче"" и т.д. Я охуел сперва. Потом понял, что меня хотят кинуть и ушел домой. Ночью ревел как побитая шлюха."
78,"Потом я также продолжил встречаться с ней. Даже несколько раз с ней еблись, но испортил все ее ДР. В подробностях описывать не буду, но скажу то, что она почти весь ДР провела с ее одногруппником и чуть ли не выебла его, а я как поледний омега и лох пускал сопли и слюни ее лучшей подружке в жилетку, а она меня утешала. Потом я прекратил с ней общаться, сжог все вещи, которые напоминали о ней и впал в депрессию. Хотел даже самовыпилиться."
79,Короче. Пиздострадания по ней длились около 2-х месяцев.
80,"И тут. ВНЕЗАПНО. Зашел я на тиреч (чисто случайно), почитал ЕОТ и я ПИЗДОСТРАЧЕЙ-тредов и, анон, ты не поверишь, но блеать я осознал всю свою уебищность и за месяц из последнего пиздострадальца-омеги превратился в альфа-самца. Чего сам не ожидал."
81,"Тиреч ты такой тиреч. Я хочу сказать тебе огромное спасибо за то, что ты есть, за то что сделал со мной."
82,"Благодаря тебе, я за каких-то ебучих два месяца научился знакомиться с тнями на улице (раньше дико ссал), разводить их на секс В ПЕРДАЧЕЛЛО и нихуя не заморачиваться."
83,"Сейчас. У меня есть 3 тни, с которыми я встречаюсь и несколько тней, которые меня дико хотят."
84,"И еще. Вот никогда не думал, что на втором свидании разведу тян на отсос с проглотом, от которого кружится голова и наступает такой приход, на какой способны только илитные вещества. Завтра, кстати, еду к этой тне на 3 свидание. Что там будет, ну ты понел (припас 9 гандонов)."
85,"Познакомился с тян на сайте знакомств. До этого там уже с парой знакомился, но разбегались через неделю-две. Потом встретил её. Она, правда, сразу предупредила, что у неё есть кун и она просто ищет общения. Разговорились, начали общаться, гулять пару раз ходили. Рассказывала про своего куна, который оказался унылым задротом-геймером, который читал её переписки в контакте, который предусматрительно зарегистрировал на своё мыло, просматривал смс и звонки на телефоне и звонил по 30-40 раз в день, чтобы выяснить, где она и с кем. При том позволял пару раз поднять на неё руку и вообще вёл себя как уёбок. При этом у нех не было общих интересов и вообще ничего, но они как-то умудрились провстречаться два года. Вообще тян ужасно слабохарактерная, нерешительная и легко внушимая, а он - социофоб, который самоутверждался за её счёт. Сама она сказала, что чуть ли не мечтает его бросить, но не к кому уходить. Продолжили общаться. Все попытки ""просто дружить"" были прерваны после того, как я скинул ей почитать для ознакомления статью про френдзону на лурке и сказал, что этой хуйни мне не надо. У тян был неслабый бугурт с истерикой и слезами. Она ещё какое-тов ремя тайно общалась со мной, а потом бросила его наконец. И через несколько дней, блять, запаниковала и вернулась. Мы начали общаться только в интернете, потом снова втайне встречаться в реале, потом она бросила его и на этот раз ушла ко мне. Он начал её засыпать сделанными из старых фото видео о том, как им было хорошо вместе, рассказывать, какая она глупая и как у них всё будет хорошо... В итоге неделю спустя она снова съебалась к нему. Дальше стандартный сценарий: не общались, начали болтать в интернетах, потом встречи в реале. И вот она снова встречается со мной, пока он звонит ей на мобильник с выключенным звуком по 40 раз. С родителями установил хорошие отношения, постоянно зовут в гости, того куна они ненавидят. Её прикрывют, когда она со мной гуляет, он звонит даже им, выспрашивает где она и с кем. Отношения с ней давно вышли за пределы обнимашек и поцелуйчиков в щёчку. Пару раз когда мы расставались начинал отношения с другими тян, но спустя какое-то время забивал, всё казалось то ли слишком скучно, то ли... не знаю. Единственное, что напрягает - конспирация при встречах. Ну и временами лёгкий бугурт в те дни, когда она встречается с ним. Продолжается всё это уже почти три месяца. Судя по всему, скоро она снова порвёт с ним и будет моей. На самом деле всё это очень доставляет, до этого все мои отношения были в разы проще, хотя иногда мне кажется, что я всё делаю неправильно. А тян регулярно вздыхает о том, какая она раньше была примерная и как она себя ведёт сейчас. Наверное, если бы не моё упорство, всё давно бы закончилось, но я - настойчивый мудак. В последний раз, когда мы снова переставали общаться пришёл к ней со словами ""мы же оба знаем, что ты будешь моей. прости меня за это и просто смирись"". Как ни странно, сработало."
86,Как же меня заебали все эти пиздострадальцы.
87,"Особенно те, кто ноет по поводу отсутствия тян."
88,"Идиоты, сама природа дает вам шанс начать развиваться — у вас есть куча сэкономленного времени и стимул к действию из-за отсутствия девушки."
89,"Суки, займитесь своим развитием, учитесь, культурно развивайтесь, следите за собой!"
90,"Хватит сутками двачевать капчу, смотреть аниму и тупые сериальчики!"
91,"Хватит выбирать себе богинь и фапать на них! Один раз перед сном передернул затвор на рандомную девку дабы спустить накопленные за день впечатления и все. Утром проснулся, организм требует найти самку — пускай эту энергию на самосовершенствование!"
92,"Все мои друзья, нашедшие девушку, стали меньше времени вкладывать в себя. Да и зачем?! Самка найдена, программа продолжения рода выполнена, можно спокойно тупить перед ящиком, обнимая свою ""киску""."
93,"Работайте над собой, не дайте пропасть той драгоценной энергии, которую вам дает природа на поиск самки."
94,"Хотите потерять девственность, хотя бы для галочки?"
95,Купите себе дорогую и опытную проститутку и переспите с ней.
96,"Первый романтический секс по любви через год-два превратится в ""перепихон с сопливой неумелой малолеткой"", а после умелой шлюхи вы будете трезво оценивать насколько хороши ваши будущие подруги в постели."
97,"Измените свою жизнь уже сегодня, никаких завтра! Не занимайтесь поисками или попытками понравиться очередной сопливой багиньке. Знакомство с девушкой, которая будет вас уважать за стремление к развитию произойдет само собой."
98,"Ассалам алейкум всем дрочерам и пиздострадателям. Сегодня я расскажу вам, как можно хитро наебать свои пиздострадальческие чувства и таки выебать ту самую петян."
