,title
16,"Однажды к Мастеpу пpишёл молoдoй чeлoвeк и cказaл: 
- Я пpишёл к тебе, пoтомy чтo чyвcтвyю ceбя тaким жaлким и никчёмным, чтo мнe не хoчeтся жить. Все вокpyг твеpдят, чтo я неyдaчник, растяпa и идиот. Прошy тебя, Mаcтеp, пoмоги мнe! 

Маcтeр, мелькoм взглянув на юнoшу, тoропливо отвeтил: 
- Извини, нo я ceйчас очeнь зaнят и никaк нe могy тебе пoмoчь. Mнe нyжно срoчнo уладить oднo oчeнь важнoe делo, – и, нeмного подумав, дoбавил: – Но если ты coглacишьcя помочь мнe в мoём дeлe, тo я с удoвольcтвием помoгу тeбе в твоём. 

- С… c yдoвoльствиeм, Маcтеp, – пpoбоpмотал тот, с гоpечью отметив, что eгo в очерeднoй раз oтодвигaют нa втopой план. 
- Xорошо, – cказaл Maстep и cнял co своeго лeвого мизинцa нeбольшое кольцо c кpacивым камнем. 

– Вoзьми кoня и скaчи на рыночнyю плoщaдь! Mне нyжно cрочнo пpoдать этo кольцo, чтобы отдать дoлг. Постaрaйcя взять зa него пoбольше и ни в коeм случae нe coглaшайcя на цену ниже зoлoтой мoнeты! Скaчи жe и вoзвpащайcя кaк мoжно cкopее! Юношa взял кoльцo и ускакaл. Пpиехав нa рыночную площaдь, oн стал предлaгать кoльцо тоpговцам, и те пoнaчалy c интерeсом рaзглядывaли eго товap. Hо cтoилo им ycлышaть o зoлотой мoнeтe, кaк oни тут же тepяли к кольцy вcякий интeрec. Oдни oткрыто cмеялись eму в лицo, другиe прocтo отвоpaчивались, и лишь oдин пожилой торговeц любeзнo объяснил ему, чтo золотая монета – этo слишкoм высoкaя цeна за такoe кольцo и что за негo могyт дaть pазве что мeдную монeтy, ну в кpайнем слyчаe ceребpяную. 

Услышав словa стаpикa, молодой человeк oчeнь pасcтpоился, ведь он пoмнил накaз Mаcтеpa ни в коем случae не опускать цeнy ниже золoтoй монеты. Oбойдя весь рынок и пpедложив кольцо добpой сoтне людeй, юношa внoвь oседлал коня и вeрнyлся oбpатнo. Сильнo yдpyчённый неудачeй, oн вoшёл к Mастеpy. 

- Мacтeр, я не cмог выполнить твоeгo порyчения, – с грycтью скaзал он. – B лyчшeм cлучae я мог бы выpучить зa кольцo паpy cepебряныx монeт, но вeдь ты нe вeлeл coглaшатьcя меньшe, чeм на зoлoтую! А cтолько это кoльцo не стоит. 

На что Мастер ответил:

- ха лох"
17,"1 января:

Мужик приходит в магазин за хлебом:

— А у вас хлеб свежий?
— Охуенный.
— Вы сломали шутку.
— А вы написали в предложку 13 марта. Опоздали на три месяца и 12 дней сверху. Идите нахуй!

Мужик покидает магазин."
18,"Мужчина:
- Девушка, давайте играть в ""Отгадай профессию""?
- Давайте.
- У меня начинается на ""И"" и кончается на ""p"".
- Инженер.
- Правильно, а ваша?
- Начинается на ""N"", а кончается на ""q"".
Мужик удивлённо:
- Это какая???
- Nнженеq
- Ну нихуя себе 🤔"
19,"Когда они хватали коммунистов, я молчал: я не был коммунистом.
Когда они сажали социал-демократов, я молчал: я не был социал-демократом.
Когда они хватали членов профсоюза, я молчал: я не был членом профсоюза.
Когда схватили чайник, полилась моча. Почему в чайнике моча? Потому что я туда нассал."
20,"Профессор в университете задал своим студентам такой вопрос.
 — Всё, что существует, создано Богом?
 Один студент смело ответил:
 — Да, создано Богом.
 — Бог создал всё? — спросил профессор.
 — Да, сэр, — ответил студент.
 Профессор спросил:
 — Если Бог создал всё, значит, Бог создал зло, раз оно существует. И согласно тому принципу, что наши дела определяют нас самих, значит, Бог есть зло.
 Студент притих, услышав такой ответ. Профессор был очень доволен собой. Он похвалился студентам, что он ещё раз доказал, что Бог — это миф.
 Ещё один студент поднял руку и сказал:
 — Если Бог миф, то тогда кто я?
Профессор ответил: 
— Головка от хуя"
21,"Поспорили как то француз,немец и русский у кого дороги круче
Француз: 
-Я ставлю на капот бокал с шампанским, сажусь в свой Рено, давлю на газ по 100. Приезжаю в шато, шампанское даже не вспенилось.
Немец: 
- Я лью шнапс в рюмку до краёв. Ставлю на капот. Сажусь в Фольксваген,давлю 150 км. Приезжаю нах хаус - шнапс не вылился даже каплей...
Русский: 
Блять, да мне похуй на тебя, блять, слушай, какая у тебя там тачка, блять, квартиры, срачки там блять, яхты, всё, мне похуй, хоть там ""Бэнтли"", хоть блять нахуй ""Майбах"", хоть ""Роллс-Ройс"", хоть ""Бугатти"" блять, хоть стометровая яхта, мне на это насрать, понимаешь? Сколько ты там, кого ебешь, каких баб, каких значит вот этих самок шикарных или атласных, блять в космос ты летишь, мне на это насрать, понимаешь? Я, блять, в своем познании настолько преисполнился, что я как будто бы уже сто триллионов миллиардов лет, блять, проживаю на триллионах и триллионах таких же планет, как эта Земля, мне этот мир абсолютно понятен, и я здесь ищу только одного, блять, - покоя, умиротворения и вот этой гармонии, от слияния с бесконечно вечным, от созерцания великого фрактального подобия и от вот этого замечательного всеединства существа, бесконечно вечного, куда ни посмотри, хоть вглубь - бесконечно малое, хоть ввысь - бесконечное большое, понимаешь? А ты мне опять со своим вот этим блять, иди суетись дальше, это твоё распределение, это твой путь и твой горизонт познания и ощущения твоей природы, он несоизмеримо мелок по сравнению с моим, понимаешь? Я как будто бы уже давно глубокий старец, бессмертный, ну или там уже почти бессмертный, который на этой планете от её самого зарождения, ещё когда только Солнце только-только сформировалось как звезда, и вот это газопылевое облако, вот, после взрыва, Солнца, когда оно вспыхнуло, как звезда, начало формировать вот эти коацерваты, планеты, понимаешь, я на этой Земле уже как будто почти пять миллиардов лет блять живу и знаю её вдоль и поперёк этот весь мир, а ты мне какие-то... мне похуй на твои тачки, на твои блять нахуй яхты, на твои квартиры, там, на твоё благо. Я был на этой планете бесконечным множеством, и круче Цезаря, и круче Гитлера, и круче всех великих, понимаешь, был, а где-то был конченым говном, ещё хуже, чем здесь. Я множество этих состояний чувствую. Где-то я был больше подобен растению, где-то я больше был подобен птице, там, червю, где-то был просто сгусток камня, это всё есть душа, понимаешь? Она имеет грани подобия совершенно многообразные, бесконечное множество. Но тебе этого не понять, поэтому ты езжай себе блять, мы в этом мире как бы живем разными ощущениями и разными стремлениями, соответственно, разное наше и место, разное и наше распределение. Тебе я желаю все самые крутые тачки чтоб были у тебя, и все самые лучше самки чтобы раздвигали ноги перед тобой, чтобы раздвигали перед тобой щели, на шиворот-навыворот, блять, перед тобой, как ковёр, это самое, раскрывали, растлевали, растлали, и ты их чтобы ебал до посинения, докрасна, вон, как Солнце закатное, и чтоб на лучших яхтах, и на самолётах летал, и кончал прямо с иллюминатора, и делал всё, что только в голову могло прийти и не прийти, если мало идей, обращайся ко мне, я тебе на каждую твою идею предложу сотню триллионов, как всё делать. Ну а я всё, я иду как глубокий старец, узревший вечное, прикоснувшийся к Божественному, сам стал богоподобен и устремлен в это бесконечное, и который в умиротворении, покое, гармонии, благодати, в этом сокровенном блаженстве пребывает, вовлеченный во всё и во вся, понимаешь, вот и всё, в этом наша разница. Так что я иду любоваться мирозданием, а ты идёшь преисполняться в ГРАНЯХ каких-то, вот и вся разница, понимаешь, ты не зришь это вечное бесконечное, оно тебе не нужно. Ну зато ты, так сказать, более активен, как вот этот дятел долбящий, или муравей, который очень активен в своей стезе, поэтому давай, наши пути здесь, конечно, имеют грани подобия, потому что всё едино, но я-то тебя прекрасно понимаю, а вот ты меня - вряд ли, потому что я как бы тебя в себе содержу, всю твою природу, она составляет одну маленькую там песчиночку, от того что есть во мне, вот и всё, поэтому давай, ступай, езжай, а я пошел наслаждаться нахуй блять прекрасным осенним закатом на берегу теплой южной реки. Всё, пиздуй-бороздуй, и я попиздил, нахуй"
22,Объединенная Организация Наркоманов (менее известная как ООН) провела внеочередной съезд в Вене
23,"— Да? 
— Алё! 
— Да да? 
— Ну как там со стэндом DIO?
— А? 
— Как со стэндом-то там? 
— Чё со стэндом?
— Чё? 
— Куда ты звонишь? 
— Подсосу DIO звоню. 
— Кому? 
— Ну тебе. 
— Кому тебе? 
— А вот тебе вот. 
— Ты кто такой? 
— Джотаро.
— Какой Джотаро?
— Куджо.
— Такого не знаю, ты ошибся номером, друг. 
— Кто? 
— Ты. 
— Чё со стэндом DIO?
— Каким стэндом?
— Ну про который никто не знает.
— Что?
— В Египте который.
— Ты пьяный или кто, сынок? 
— Я тре.. Я Джотаро Куджо.
— Кто такой? 
— Пьяный. 
— Вот именно, ну и все, завяжи лямку, ёбана в рот. 
— Куда... Чё завязать? 
— Завяжи лямку ёбана в рот!
— А чё ты кричишь? 
— Да ничего! 
— Алё! 
— Да. 
— Ну чё там? 
— Чего?! 
— Как со стэндом обстоят во... Обстоит вопрос? 
— С какими стэндом?
— Который в Египте у DIO.
— В каком Египте?
— В Египте у DIO.
— Какой стэнд?
— В смысле в какой? 
— Ты куда звонишь?! По какому номеру звонишь? 
— По твоему номеру. 
— Ты, сынок! 
— Чё?! 
— Сынок ёбаный! 
— Чё? 
— Ты куда звонишь?! 
— Чё ты кричишь? 
— По какому телефону звонишь?! 
— Двадцать два, пятьсот пять. 
— Ну? Какой стэнд? Стандоцкай ты ёбаный! 
— Стэнд DIO в Египте.
— Ну, в Египте.
— Ну а чё ты кричишь? 
— Да ни хуя! А то соплю тебе разобью нахуй, сопляк ёбаный! 
— Ты чё? 
— Ты понял, да?! 
— Я не понимаю куд... 
— Всё затнись нахуй! 
— Алё. 
— Пидорас ёбаный! 
— А чё я? 
— Ты приедь сюда, я тебе бошку отверну! 
— А какой адрес? 
— Вот приедь сюда, я тебе бошку отверну, стандоюзер ёбаный! 
— Да не надо. 
— Ты понял, да?! 
— За что? 
— За всё! 
— А чё я сделал? 
— Джотаро ёбаный! 
— Чё со стэндом?
— Ты понял меня?! 
— Чё со стэндом, я спрашиваю? 
— Вот всё, какие-то стэнды, ёбаный пидорас. 
— Кто? 
— Ты! 
— Почему? 
— Всё, SHUT UP!!!
— Алё. Алё. 
— Я щас ещё узнаю с какого ты телефона звонишь! 
— Я звоню щас из офиса.
— С какого офиса?
— Находящейся по улице Стандоцкайной, четыре. 
— Вот, номер твой телефон скажи мне. 
— Алё. 
— Скажи номер телефона своего. 
— Зачем? 
— А чтобы я приехал тебе стэнд набил нахуй. 
— За что это? 
— А за всё! Ты понял, да? 
— Ничё не понял. 
— Я тебе сказал, сынок. 
— Что? 
— Ты понял меня? 
— Папа! 
— Всё. 
— Чё всё то? 
— Ты давай номер телефона или сюда приезжай. 
— А со стэндом DIO как вопрос обстоит? 
— С каким стэндом?!
— Который в Египте у DIO. 
— У какого DIO?!
— В Египте.
— Что у него?!
— Стэнд. 
— Пидорас ёбаный! 
— Что?"
24,"МОЖЕТ ХВАТИТ БУХТЕТЬ🗣🗣🗣🗯🗯🗯📢📢 И ДЕСТАБИЛИЗИРОВАТЬ СИТУАЦИЮ В СТРАНЕ? 😡😡😡👿👿👿✋🏻✋🏻✋🏻 
Есть инфа💯💯💯 от знающего человека🤵🤵👌🏻👌🏻☝🏻☝🏻, что у нас в стране скоро ожидаются реальные изменения. После того, как стабилизируют ситуацию в Китае🇨🇳🇨🇳🇨🇳✅✅✅, уничтожат коронавирус☠💀⚕⚕🛑🚧☢☢☣☣. Тогда везде и сформируют торговый альянс с восточной Азией🇭🇰🇨🇳🇯🇵🇱🇾🇮🇷. Нефть поднимут🛢🛢🛢📈📈📈 и будут держать🤝🏻🤝🏻🤝🏻, Европа🇧🇪🇧🇫🇨🇵🇧🇦🇦🇹🇩🇪🇬🇧🇮🇹🇪🇸 (и Омерика🇺🇲) ничего не сможет сделать🤷‍♂🤷‍♂🤷‍♂. Сейчас главное не бухтеть. 🔇🔇🔇🔕🔕🔕⛔⛔⛔ 
 
От нас требуется сидеть тихо💤💤🙇‍♂🙇‍♂🙊🙊🙊. После того, как доллар💲💲 и евро 💶💶💶 стабилизируют, все будет у нас хорошо👌🏻👌🏻👌🏻👍🏻👍🏻👍🏻. Всем устроят довольствие💰💰💰, как Китайским🇨🇳🇨🇳🇨🇳 гражданам - каждый будет кататься🚴‍♂🚴‍♀🚵‍♂🚵‍♀⛷🏄‍♂🏄‍♀ в масле. Главное сейчас сидеть тихо 🔇🔇🔇🔕🔕🔕 и не суетиться. Никаких митингов🚷🚷🚷🙅‍♂🙅‍♂🙅‍♂, никаких навэльных🙉🚫 (блэт). Просто переждать и всё будет хорошо✅✅✅💯💯, там все схвачено👍🏻👍🏻👍🏻🤙🏻🤙🏻🤘🏻🤘🏻✌🏻✌🏻✌🏻."
25,"Приходит Штирлиц на ипподром и выбирает, на какую лошадь поставить. Пока он думал, к нему подошёл дед и предложил сделать ставку на ту лошадь, которую он укажет. Штирлиц, недолго думая, согласился — и точно, лошадь, которую выбрал дед, пришла первой. Забирая выигрыш, Штирлиц понял — это был Дед Инсайд."
26,"Возродили как то хрущева. Ну он походил по Москве, газеты почитал, новости посмотрел и дал указания: поменять срочно систему образования, усилить влияние на запад и вместо Ленина в мавзолее построить теплицу с кукурузой. Народ спрашивает: мы все понимаем , но теплицу то зачем?
А хрущев и отвечает: УУУУ Я ХРУЩЕВ ИЗ АНЕКДОТА. КУКУРУЗУ ЛЮБЛЮ УУ СУКА КАК Я ЛЮБЛЮ КУКУРУЗУ ВОТ ЗАРЫЛСЯ БЫ В ПОЛЕ КУКУРУЗНОМ И ЕЛ ЕЕ. А ЕЩЕ ЕБАТЬСЯ ЛЮБЛЮ, ТАК ЛЮБЛЮ ЧТО ПОЛНОСТЬЮ БЫ ВПИЗДУ ЗАЛЕЗ ТОЛЬКО БЫ РОТ ТОРЧАЛ. -а рот то зачем?- КУКУРУЗУ ЛЮБЛЮ ПИЗДЕЦ."
27,"Поспорили как то француз,немец и русский у кого дороги круче
Француз:
-Я ставлю на капот бокал с шампанским, сажусь в свой Рено, давлю на газ по 100. Приезжаю в шато, шампанское даже не вспенилось.
Немец:
- Я лью шнапс в рюмку до краёв. Ставлю на капот. Сажусь в Фольксваген, давлю 150 км. Приезжаю нах хаус - шнапс не вылился даже каплей...
Русский:
-Наливает рюмку водки. Ставлит на капот КАМАЗа. Прицеп себе зацепил трёхосный и туда досок нахуярил, которые Ман хуй везёт, он их в камаз придурок засунул блять, от БЛять… трых-трых-трых, хуяк, не ту включил блять, давай дрочить кулису, делитель разъебаный, никак не попадёт нихуя куда в какую дырку надо попасть блять пиздец, опять красный думаешь, ты ему по рации блять да ты расцепись сука ты сам тронься прицеп вручную затолкаете, вы заебали вы блять, ебать вас в рот нахуй, пиздец блять, и обогнать хуй обгонишь, эта тварь ебаная на лексусах хуярят же они пидарасы блять тоже ебало блять квадратное сука как у буратино блять сидит блять торгует по сторонам блять не поймёт куда попал блять нахуй его вообще за руль посадили"
28,"Девушка:
- Мужчина, давайте играть в ""Отгадай профессию""?
- Давайте.
- У меня начинается на ""Б"" и кончается на ""Ь"".
- БИБЛИОТЕКАРЬ.
- Правильно, а ваша?
- Начинается на ""Г"", а кончается на ""Й"".
Девушка молчит оторопело.
Кодзима:
- Вообще-то моя профессия - ГениЙ, а то что вы подумали, только хобби."
29,"Идет концерт.
Вокалист думает: ""Вот, я сейчас такое верхнее ""ми"" возьму - все девки мои!
Гитарист думает: ""Вот, я сейчас такой сольник заверну, все девки мои будут!""
Барабанщик думает: ""Вот, я сейчас сбивочку тактов на 16 зафигачу, все девки офигеют!""
Клавишник думает: ""Вот, я сейчас такие пассажи сыграю, девки офигеют чё пальцами могу!""
Басист: ""E P I C!"""
30,"Однажды Лев Николаевич Толстой поспорил, что сможет написать самый короткий рассказ, способный растрогать любого.

Он проиграл."
31,"Идет концерт.
Басист думает: ""Вот это я крабом походил - все девки мои!""
Вокалист-ритмист думает: ""ФАЙЙЙЙЙЙ УУУУУ ЙЙЙЕЕЕЕАААААХ""
Гитарист думает: ""ДАЙТЕ ЖАБУ""
Барабанщик думает: ""Хуй знает уже 40 лет играть не умею тыц туц""

Шёл концерт группы Metallica."
32,"Как называется уничтожение евреев на небольшой территории?

Локалхост"
33,"- Парень в крутом костюме - кто ты без него?
- Дьявол, гольфист, японский онанист"
34,"Молодая мама купила завтрак бездомному, а он оставил ей записку с шокирующим признанием 

Кейси Фишер, студентка и молодая яжемать, недавно пошла позавтракать в Dunkin’ Donuts. Неподалеку от кофейни сидел бездомный, пытающийся собрать хоть какую-то мелочь себе на завтрак. 

Спустя несколько минут мужчина тоже решил зайти в заведение, в надежде, что сможет хоть что-то купить. Кейси решила помочь незнакомцу: купила ему кофе и пончик. Девушка предложила бездомному позавтракать вместе. 

Сначала девушка сама пыталась завязать разговор. Возможно, она была слишком назойливой в своих расспросах, но Крис, так звали бездомного, быстро ей открылся и начал рассказывать о своей жизни: отца он не знал, его мать умерла от спидорака, а он, став наркозависимым, потерял все, подписался на паблики про атеизм и теперь сосет на трассе за спасибо от сбербанка. 

После задушевного разговора Крис попросил девушку подождать еще пару секунд и что-то написал на чеке. Кейси взяла записку, но открыла ее лишь в машине. Крис написал: «Пиздец как я хочу срать от твоего ебучего кофе»."
35,"Ложка — это ложка,
Ложкой суп едят.
Кошка — это кошка,
У кошки семь котят.
Тряпка — это тряпка,
Тряпкой вытру стол.
Шапка — это шапка,
Оделся и пошёл.
Зло — это зло,
Меньшее, большее, среднее — всё едино, пропорции условны, а границы размыты. Я не святой отшельник, не только одно добро творил в жизни. Но если приходится выбирать между одним злом и другим, я предпочитаю не выбирать вообще."
36,Геи на свиданиях много десертов не заказывают.
37,Госдума приняла закон об обнулении смерти горшка
38,Японские учёные открыли животы.
39,
40,"Я регулярно захожу в отделение банка, и каждый раз спрашиваю, есть ли доллар по 30. Каждый раз мне отвечают, что нет. Я спрашивал уже раз 150 и 150 раз мне ответили нет. Смысл в том, что там отвечают с неизменной интонацией. А я каждый раз с неизменной интонацией спрашиваю:
-Доллар по 30 есть?
-Нет.

-Слышал, доллар понизился в цене, так?
-Нет,извините.

-Здравствуйте, что с долларом?
-Та ничего, все также по 75.

-Здравствуйте, 2014 вернули?
-Нет, извините, ничего подобного не произошло.
-Ладно, подожду.

И ведь все сотрудники банка, зараза, знают меня идеально в лицо, знают, что я спрошу и знают, что мне ответить. Но ещё ни разу ни один из нас ни жестом, ни словом не показал, что каждый из нас знает сценарий. Бывает они сидят на своих рабочих местах, когда я захожу к ним, тогда я подсматриваю из-за угла, сотрудник равнодушно клацает мышкой, заканчивает разговор с другим клиентом, смотрит на меня, и как только клиент уходит, то я с талончиком сажусь напротив сотрудника и говорю:
-Здравствуйте, мне бы доллар получить, вот тридцать рублей.
-Доллар сейчас стоит 75 рублей.

Иногда этот сотрудник общается с другим, тогда, стоя рядом, я терпеливо жду, когда они закончат.
-А доллар по 30 есть?
-Нет,только по 75. Евро 85.

Иногда он просто скучает, сидя за компютером, когда в отделении нет посетителей, и только я расхаживаю по банку. Конечно, он знает, что будет дальше, но не подаёт виду и равнодушно выбивает следующий талончик на табло.
-Можно десять баксов? Вот три сотни рублей, десятками.
-Нет, извините, десять долларов выйдет дороже трёх сотен.

Это очень суровое, по-настоящему мужское противостояние, исход которого не ясен. Очевидно, что каждая сторона рассчитывает на хорошую экономику государства. Впрочем, я уже согласен на инфляцию."
41,"Беседуют англичанин, француз и либераха. 
Англичанин: 
— У нас произношение трудное. Мы говорим ""Инаф"", а пишем ""Enough"". 
Француз: 
— О-ля-ля, у нас-то как сложно! Мы говорим ""Бордо"" а пишем ""Bordeaux"". 
Либераха, недолго думая ответил: 
— А мы говорим ""Российская Федерация"", а пишем ""Рашка-парашка""."
42,"Студент останавливает лифт, там преподаватель по философии.
С: Лифт едет вверх или вниз?
П: А с чего ты взял, что лифт вообще куда-то едет? Может быть сам лифт всегда стоит на месте и на самом деле всё вокруг него движется вверх или вниз? Об этом ты не подумал?
Двери закрываются. Студент уезжает, пробивая головой потолок."
43,"Пригласили Артемия Лебедева на интервью.
""Эти журналисты — коварные подонки, — думает Татьяныч. — Наверняка будут провокационные вопросы задавать про то, что у меня чувства юмора нет. Надо придумать, что отвечать"". 
Стоит Лебедев перед зеркалом и репетирует:
""Артемий, а правда что у вас чувства юмора нет — Ну нет и нет... Нет, так не пойдёт...""
""А сами-то чуваки хитренькие - берут себе ник ""5000 рублей"", а присылают 100.. И это плохой ответ...""
""Какие-то вопросы у вас дурацкие, давайте по теме или мы закончим интервью!"" - Так и отвечу! Не на того напал. Как говорится."" — решил Лебедев и пошёл на интервью.
Интервью начинается и задаётся первый вопрос:
— Артемий. Говорят, что вы шуток не понимаете.
— Кто, я шуток не понимаю?! Да я у Ясоса Бибы хуй сосал!"
44,"-Кто утром ходит на 4х ногах,днём на 2х,вечером на 3х?
-Ёбнутая бабка
-Почему?
-Потому что ёбнутая"
45,"Студент останавливает лифт, там преподаватель. 
С: Лифт едет вверх или вниз?
П: Гусь свинье не товарищ.
С: Ну, я полетел.
Двери закрываются, лифт уезжает.
Студент начинает спускаться по лестнице, падает и пердит"
46,"Профессор в университете задал своим студентам такой вопрос.
 — Всё, что существует, создано Богом?
 Один студент смело ответил:
 — Да, создано Богом.
 — Бог создал всё? — спросил профессор.
 — Да, сэр, — ответил студент.
 Профессор спросил:
 — Если Бог создал всё, значит, Бог создал зло, раз оно существует. И согласно тому принципу, что наши дела определяют нас самих, значит, Бог есть зло.
 Студент притих, услышав такой ответ. Профессор был очень доволен собой. Он похвалился студентам, что он ещё раз доказал, что Бог — это миф.
 Ещё один студент поднял руку и сказал:
 — Если Бог миф, то тогда кто я?
Этим студентом был Евгений Понасеков"
47,"Учительница в классе:
— Петя!
— А!
— В жопе нога! Встань когда с учителем разговариваешь! Сколько 2+2 будет?
— Ну 5...
— Во дурак! Не получится из тебя инженер. Вася!
— А!
— В жопе нога! Встань когда с учителем разговариваешь! Сколько 2+2 будет?
— Ну 3...
— Во дурак! Не получится из тебя инженер. Вовочка!
— Марья Ивановна, 2+2 = 4
— Молодец, Вовочка, будешь инженером!
— Марья Ивановна!
— А!
— Х@й на! Встань когда с инженером разговариваешь!"
48,"Маленький мальчик спрашивает маму: 
- Мама, а когда я вырасту, у меня тоже будет две писи, как у папы? 
- Как это две? 
- Ну да. Одна маленькая, чтобы писать, а другая большая, чтобы чистить зубы нашей няне."
49,"Батюшка садится в такси. Едут. . налетают на кочку. Таксист. . Вот бл*! Батюшка сидит молчит. Опять налетают на кочку. Таксист... Да еб*ный насос! Батюшка сидит терпит. Едут дальше, попадают в яму. Таксист. . Да ну нах*й! Батюшка не выдерживает. Зачем так выражаешься сын мой? Скажи просто, Хвала Господу! И все будет хорошо. Таксист успокоился, едут дальше, и тут раз, колесом попадают в открытый люк. . колесо отрывается. Таксист. . Ааа, Хвала Господу! И тут колесо раз, и обратно прикручивается. Батюшка... 
Да нуу нах*й!!!"
